종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"473590","ACE 미국주식베스트셀러","19085","-65","-0.34","19044.85","19025","19110","18995","106393","2025799377","89699500000","0","4700000","FnGuide 미국 주식 베스트셀러 지수(시장가격지수)","9922.96","0.00","0.00"
"0008E0","ACE 미국중심중소형제조업","9800","250","2.62","9793.42","9745","9825","9740","8765","85817140","8820000000","0","900000","NYSE FactSet US Focus Manufacturing Index(Price Return)","268.12","-0.42","-0.16"
"391600","ACE 미국친환경그린테마INDXX","9250","140","1.54","9270.06","9195","9250","9175","4729","43522215","12487500000","0","1350000","Indxx US Green Infrastructure Price return Index","2828.77","21.91","0.78"
"455660","ACE 미국하이일드액티브(H)","9935","5","0.05","9880.07","9930","9940","9925","12006","119268087","12915500000","0","1300000","Markit iBoxx USD Liquid High Yield Total Return Index","379.61","0.33","0.09"
"245710","ACE 베트남VN30(합성)","24570","-55","-0.22","24868.95","24995","25000","24455","104717","2589286953","265356000000","0","10800000","VN30 Index(PR)","1643.91","9.21","0.56"
"131890","ACE 삼성그룹동일가중","21590","-390","-1.77","21759.56","22015","22015","21590","2723","59130425","10795000000","0","500000","MKF SAMs EW 지수","21719.00","-196.59","-0.90"
"108450","ACE 삼성그룹섹터가중","16515","-190","-1.14","16547.16","16715","16715","16415","5841","96467506","49545000000","0","3000000","MKF SAMs SW","16466.94","-149.99","-0.90"
"316300","ACE 싱가포르리츠","13035","70","0.54","12963.59","12990","13060","12920","1313","17065270","6517500000","0","500000","Morningstar Singapore REIT Yield Focus Index(PR)","1214.12","1.72","0.14"
"277540","ACE 아시아TOP50S&P","19420","165","0.86","19510.49","19270","19420","19075","12713","244999792","16507000000","0","850000","S&P ASIA50 Price Return Index","5417.72","72.55","1.36"
"483420","ACE 애플밸류체인액티브","10860","80","0.74","10846.96","10775","10885","10775","9798","106272328","11946000000","0","1100000","Bloomberg Top 30 Supply Chain Plus Apple Price Return Index","2773.75","12.57","0.46"
"483320","ACE 엔비디아밸류체인액티브","10565","80","0.76","10563.02","10515","10630","10515","545743","5758257308","131534250000","0","12450000","KEDI 글로벌AI반도체 지수","5627.48","0.00","0.00"
"448540","ACE 엔비디아채권혼합블룸버그","24320","10","0.04","24244.24","24255","24320","24210","127859","3104694100","204288000000","0","8400000","Bloomberg Blended NVIDIA Equity and Korean Bond Index","9069.27","26.87","0.30"
